corpus	app	file	module_outcome	n_exports	n_compiled	n_skipped
FIXTURES	-	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/bignum.beam	loaded	7	3	4
FIXTURES	-	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/bs_create_bin_fixture.beam	loaded	19	2	17
FIXTURES	-	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/caught_exception_exit.beam	loaded	4	2	2
FIXTURES	-	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/fc_probe.beam	loaded	4	3	1
FIXTURES	-	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/frameless.beam	loaded	4	4	0
FIXTURES	gleam_gate	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/gleam_gate/beamr_gate.beam	loaded	3	2	1
FIXTURES	gleam_gate	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/gleam_gate/beamr_probe.beam	loaded	3	2	1
FIXTURES	gleam_gate	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/gleam_gate/gleam@bit_array.beam	loaded	20	10	10
FIXTURES	gleam_gate	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/gleam_gate/gleam@bool.beam	loaded	12	6	6
FIXTURES	gleam_gate	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/gleam_gate/gleam@bytes_tree.beam	loaded	16	10	6
FIXTURES	gleam_gate	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/gleam_gate/gleam@dict.beam	loaded	23	13	10
FIXTURES	gleam_gate	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/gleam_gate/gleam@dynamic.beam	loaded	12	11	1
FIXTURES	gleam_gate	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/gleam_gate/gleam@dynamic@decode.beam	loaded	27	3	24
FIXTURES	gleam_gate	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/gleam_gate/gleam@float.beam	loaded	29	13	16
FIXTURES	gleam_gate	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/gleam_gate/gleam@function.beam	loaded	3	3	0
FIXTURES	gleam_gate	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/gleam_gate/gleam@int.beam	loaded	38	15	23
FIXTURES	gleam_gate	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/gleam_gate/gleam@io.beam	loaded	6	6	0
FIXTURES	gleam_gate	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/gleam_gate/gleam@json.beam	loaded	16	11	5
FIXTURES	gleam_gate	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/gleam_gate/gleam@list.beam	loaded	67	10	57
FIXTURES	gleam_gate	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/gleam_gate/gleam@option.beam	loaded	15	4	11
FIXTURES	gleam_gate	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/gleam_gate/gleam@order.beam	loaded	8	3	5
FIXTURES	gleam_gate	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/gleam_gate/gleam@pair.beam	loaded	8	3	5
FIXTURES	gleam_gate	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/gleam_gate/gleam@result.beam	loaded	19	2	17
FIXTURES	gleam_gate	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/gleam_gate/gleam@set.beam	loaded	22	3	19
FIXTURES	gleam_gate	/Users/tom/Developer/ablative/stack/beamr/crates/beamr/tests/fixtures/gleam_gate/gleam@string.beam	loaded	41	17	24
